"model","horizon","cutoff","y","yhat","yhat_lower","yhat_upper"
"Prophet",3,"2024-12-06",12.34277774661,12.9687459226857,NA,NA
"Prophet",4,"2024-12-06",12.0702987403529,11.6217267100179,NA,NA
"Prophet",5,"2024-12-06",11.7974951991179,11.2169658626357,NA,NA
"Prophet",6,"2024-12-06",11.836753817808,11.2877568160923,NA,NA
"Prophet",1,"2025-06-04",12.2072919019349,11.7398266788986,NA,NA
"Prophet",2,"2025-06-04",12.1972084745917,11.7380904869737,NA,NA
"Prophet",3,"2025-06-04",11.9764770746302,11.6472669710177,NA,NA
"Prophet",4,"2025-06-04",12.0148697662899,11.7330454250081,NA,NA
"Prophet",5,"2025-06-04",12.2686060327296,11.9870083366095,NA,NA
"Prophet",6,"2025-06-04",12.4643053097567,12.9100230578935,NA,NA
"BSTS",1,"2016-12-01",12.2984694947961,12.276133371757,12.1401637627744,12.4314334909974
"BSTS",2,"2016-12-01",12.1935799355684,12.2959132927775,12.1305290342409,12.4574885471383
"BSTS",3,"2016-12-01",12.1446014154421,12.2615397443446,12.070967512392,12.4243950565692
"BSTS",4,"2016-12-01",11.9844841345138,11.9642799579981,11.7651158308752,12.1592805271705
"BSTS",5,"2016-12-01",11.7108824817347,11.8734246023847,11.6834127261772,12.055523862815
"BSTS",6,"2016-12-01",11.7227892289372,11.8591192582858,11.6502700745509,12.061942442901
"BSTS",1,"2017-06-01",12.2331137178412,12.2379175670903,12.0650881124726,12.3822459694005
"BSTS",2,"2017-06-01",12.1596516726094,12.1289985314683,11.9666314195919,12.3000862378008
"BSTS",3,"2017-06-01",11.8850199149366,11.9008095396712,11.67428145008,12.0675919402124
"BSTS",4,"2017-06-01",11.934454192846,11.8961573399061,11.6544569494334,12.0793042227942
"BSTS",5,"2017-06-01",12.0288042997328,11.9762778562603,11.7136568803464,12.1978339084427
"BSTS",6,"2017-06-01",12.4071178163222,12.2876440045164,12.016141581953,12.5189278955963
"BSTS",1,"2017-12-01",12.3839007887118,12.2924506511803,12.1598221463533,12.4312154286908
"BSTS",2,"2017-12-01",12.3699671285203,12.2636031250215,12.1237811939434,12.4088476794441
"BSTS",3,"2017-12-01",12.360431875038,12.2166712873298,12.0556688320689,12.3945803045638
"BSTS",4,"2017-12-01",12.1030926275714,12.0022258160498,11.8348447375597,12.1992309392053
"BSTS",5,"2017-12-01",11.7711735773874,11.8209095810402,11.6459366574778,12.0125620528197
"BSTS",6,"2017-12-01",11.8970171126696,11.8379493096717,11.6367187509253,12.0530615823979
"BSTS",1,"2018-06-01",12.291465630296,12.3769679411595,12.2086706849435,12.5340336347314
